epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1972,2.54861,12.7454,2.14772,0.28668,0.23983,0.17985,0.10838,2.31062,14.2043,2.20219,9.81132e-05,9.81132e-05,0.0804755
2,47.0111,2.07641,9.6303,1.87786,0.44072,0.46234,0.46179,0.27378,1.90459,8.76236,1.77631,0.000197133,0.000197133,0.0605745
3,64.4027,1.89757,8.22665,1.70592,0.68967,0.52061,0.49936,0.32917,1.78742,7.83025,1.69395,0.000295162,0.000295162,0.0406725
4,81.97,1.92976,8.09464,1.72605,0.75991,0.49039,0.50321,0.35789,1.73586,8.47986,1.62087,0.000392201,0.000392201,0.0207696
5,99.2973,1.76446,7.47513,1.62197,0.55349,0.56222,0.54012,0.38253,1.6444,7.00907,1.57054,0.000488251,0.000488251,0.000865609
6,116.353,1.70189,7.20456,1.58721,0.85991,0.52067,0.55629,0.3752,1.83276,6.88502,1.63078,0.000487625,0.000487625,0.000487625
7,133.344,1.66017,6.80138,1.5399,0.67695,0.54069,0.55564,0.40672,1.63037,6.80967,1.51366,0.00048515,0.00048515,0.00048515
8,150.54,1.6282,6.72485,1.48754,0.82243,0.58182,0.62064,0.43921,1.69086,6.40093,1.52629,0.000482675,0.000482675,0.000482675
9,167.646,1.59953,6.56641,1.47391,0.82764,0.60475,0.60934,0.43376,1.66809,6.88268,1.5325,0.0004802,0.0004802,0.0004802
10,184.805,1.59412,6.42184,1.4681,0.66364,0.64209,0.58162,0.42405,1.68883,6.87773,1.51293,0.000477725,0.000477725,0.000477725
11,202.005,1.53085,6.40419,1.44449,0.8443,0.56498,0.59228,0.43504,1.69474,6.29785,1.56631,0.00047525,0.00047525,0.00047525
12,219.857,1.52977,6.07792,1.42772,0.60488,0.66162,0.62169,0.44945,1.59159,6.02353,1.51713,0.000472775,0.000472775,0.000472775
13,237.456,1.51996,6.04662,1.41608,0.77895,0.59091,0.57617,0.42477,1.54949,6.49024,1.4649,0.0004703,0.0004703,0.0004703
14,255.296,1.47485,5.76391,1.40525,0.64642,0.63872,0.61372,0.41369,1.57683,6.20988,1.44249,0.000467825,0.000467825,0.000467825
15,272.559,1.45661,5.79197,1.38664,0.58946,0.67823,0.59651,0.43727,1.53808,6.23146,1.41747,0.00046535,0.00046535,0.00046535
16,290.554,1.45797,5.63232,1.3647,0.71015,0.6569,0.5992,0.42075,1.48852,5.79501,1.42106,0.000462875,0.000462875,0.000462875
17,307.364,1.42547,5.42645,1.3733,0.70637,0.64219,0.62429,0.46575,1.54075,6.10623,1.48425,0.0004604,0.0004604,0.0004604
18,324.47,1.3703,5.36697,1.3356,0.70698,0.6637,0.64657,0.45804,1.46209,5.93461,1.43127,0.000457925,0.000457925,0.000457925
19,341.229,1.33923,5.18321,1.2911,0.69035,0.67081,0.62284,0.48464,1.44026,6.27936,1.44219,0.00045545,0.00045545,0.00045545
20,358.51,1.3504,5.14165,1.31661,0.63837,0.67677,0.60808,0.46443,1.46415,6.02196,1.408,0.000452975,0.000452975,0.000452975
21,375.523,1.34952,5.01899,1.29797,0.58062,0.70284,0.60032,0.43877,1.4032,6.35307,1.38439,0.0004505,0.0004505,0.0004505
22,392.363,1.33908,5.00742,1.30133,0.64512,0.64586,0.62083,0.4538,1.46701,5.66027,1.38421,0.000448025,0.000448025,0.000448025
23,408.786,1.28231,4.74594,1.2699,0.70523,0.67912,0.62771,0.46473,1.44694,5.60401,1.3709,0.00044555,0.00044555,0.00044555
24,425.437,1.33139,4.84491,1.28954,0.66847,0.67172,0.62096,0.43861,1.48708,5.59047,1.3909,0.000443075,0.000443075,0.000443075
25,441.699,1.32715,4.78365,1.27261,0.64407,0.69293,0.60876,0.45501,1.41803,5.49174,1.39943,0.0004406,0.0004406,0.0004406
26,458.167,1.28287,4.55885,1.24768,0.71131,0.64007,0.61451,0.43562,1.45829,5.66991,1.37307,0.000438125,0.000438125,0.000438125
27,474.675,1.26317,4.53267,1.23863,0.6876,0.66417,0.59258,0.4512,1.40801,6.01923,1.35029,0.00043565,0.00043565,0.00043565
28,491.6,1.28775,4.55883,1.25152,0.6716,0.69973,0.62494,0.4699,1.28404,5.3069,1.32128,0.000433175,0.000433175,0.000433175
29,509.003,1.24868,4.36788,1.2322,0.71946,0.6286,0.64123,0.4563,1.37439,5.55213,1.31251,0.0004307,0.0004307,0.0004307
30,526.504,1.2692,4.48083,1.24974,0.61265,0.71412,0.61823,0.45905,1.37552,5.39835,1.35214,0.000428225,0.000428225,0.000428225
31,543.497,1.23307,4.35681,1.22291,0.62684,0.61524,0.58368,0.46511,1.37437,5.6709,1.3431,0.00042575,0.00042575,0.00042575
32,560.465,1.21821,4.25539,1.21246,0.6097,0.67515,0.57349,0.45188,1.33013,5.6974,1.3216,0.000423275,0.000423275,0.000423275
33,577.861,1.22269,4.3743,1.22643,0.67256,0.69428,0.6155,0.44111,1.39848,5.48669,1.38944,0.0004208,0.0004208,0.0004208
34,594.743,1.21728,4.08641,1.19678,0.75505,0.66599,0.59848,0.46047,1.36356,5.6395,1.35866,0.000418325,0.000418325,0.000418325
35,611.719,1.19315,4.20194,1.18183,0.67303,0.67484,0.61083,0.45534,1.33321,5.65638,1.33644,0.00041585,0.00041585,0.00041585
36,628.68,1.19302,4.13598,1.20022,0.62928,0.68332,0.5904,0.42837,1.41332,6.16365,1.34694,0.000413375,0.000413375,0.000413375
37,645.553,1.14887,3.8123,1.17401,0.62975,0.72639,0.58594,0.45077,1.31344,5.92641,1.28266,0.0004109,0.0004109,0.0004109
38,662.512,1.14959,3.91031,1.16444,0.66578,0.68249,0.60167,0.47155,1.2822,5.62083,1.26915,0.000408425,0.000408425,0.000408425
39,679.552,1.14883,3.84755,1.18287,0.67005,0.70505,0.61043,0.47123,1.27547,5.16726,1.34092,0.00040595,0.00040595,0.00040595
40,696.604,1.12805,3.68625,1.1423,0.64573,0.63131,0.55862,0.43837,1.29319,6.07753,1.31581,0.000403475,0.000403475,0.000403475
41,713.522,1.14941,3.86837,1.18027,0.64492,0.7174,0.60482,0.45393,1.32319,5.37276,1.34176,0.000401,0.000401,0.000401
42,730.583,1.14555,3.72935,1.16322,0.70811,0.71533,0.61896,0.46595,1.26084,5.08403,1.32838,0.000398525,0.000398525,0.000398525
43,747.675,1.1633,3.76044,1.18591,0.696,0.71246,0.6158,0.46683,1.25524,5.06579,1.2906,0.00039605,0.00039605,0.00039605
44,764.833,1.14278,3.76211,1.17544,0.68624,0.68686,0.59528,0.45675,1.24052,5.37097,1.27001,0.000393575,0.000393575,0.000393575
45,781.54,1.14627,3.77325,1.17283,0.72081,0.67946,0.60243,0.45843,1.25024,5.86319,1.27237,0.0003911,0.0003911,0.0003911
46,798.529,1.13327,3.87174,1.17854,0.73681,0.68963,0.61784,0.48335,1.24606,5.72367,1.3214,0.000388625,0.000388625,0.000388625
47,815.436,1.11449,3.57302,1.14215,0.74992,0.68215,0.60232,0.43712,1.34497,5.61821,1.38174,0.00038615,0.00038615,0.00038615
48,833.112,1.11147,3.73811,1.16489,0.66713,0.66408,0.59166,0.45412,1.21576,5.64403,1.30081,0.000383675,0.000383675,0.000383675
49,850.74,1.14163,3.79154,1.18032,0.66469,0.67274,0.58841,0.44994,1.29126,6.04464,1.29312,0.0003812,0.0003812,0.0003812
50,867.726,1.11653,3.54102,1.15823,0.69892,0.69414,0.61552,0.47779,1.21706,5.93203,1.26237,0.000378725,0.000378725,0.000378725
51,884.327,1.144,3.58454,1.15617,0.68483,0.65084,0.64484,0.46533,1.31333,5.51918,1.28548,0.00037625,0.00037625,0.00037625
52,901.191,1.05676,3.35169,1.12831,0.75143,0.6825,0.65482,0.50157,1.24025,5.15941,1.31073,0.000373775,0.000373775,0.000373775
53,917.811,1.07293,3.36022,1.11034,0.65654,0.7468,0.66094,0.49536,1.31263,5.27917,1.30944,0.0003713,0.0003713,0.0003713
54,934.19,1.02166,3.22749,1.10628,0.70385,0.69459,0.64315,0.49069,1.19015,5.46201,1.28911,0.000368825,0.000368825,0.000368825
55,950.848,1.07164,3.41297,1.13823,0.67188,0.63401,0.52493,0.37719,1.33694,5.71277,1.36041,0.00036635,0.00036635,0.00036635
56,968.273,1.04836,3.31176,1.11452,0.68207,0.69394,0.58742,0.45147,1.29837,5.63063,1.3401,0.000363875,0.000363875,0.000363875
57,985.132,1.0663,3.44358,1.1268,0.67406,0.67561,0.6016,0.46548,1.33235,6.02223,1.32223,0.0003614,0.0003614,0.0003614
58,1002.02,1.02911,3.28042,1.10982,0.69229,0.72955,0.65036,0.49656,1.22377,5.57875,1.24752,0.000358925,0.000358925,0.000358925
59,1018.78,1.05677,3.42826,1.11548,0.66176,0.72454,0.61552,0.44623,1.22507,5.2316,1.27177,0.00035645,0.00035645,0.00035645
60,1035.79,1.00817,3.13091,1.09301,0.71434,0.71033,0.64461,0.4796,1.28852,5.19456,1.29694,0.000353975,0.000353975,0.000353975
61,1052.73,1.03891,3.22172,1.11375,0.70271,0.71448,0.6322,0.47693,1.23919,5.38351,1.2774,0.0003515,0.0003515,0.0003515
62,1069.59,1.0012,3.0588,1.08855,0.616,0.77508,0.61111,0.45938,1.28841,5.59589,1.29421,0.000349025,0.000349025,0.000349025
63,1086.55,1.04638,3.23903,1.10858,0.72679,0.74209,0.65385,0.47891,1.20319,5.05311,1.24557,0.00034655,0.00034655,0.00034655
